tournament,timestamp,date_GMT,status,stadium_name,home_team_name,away_team_name,home_min_traded_price,home_max_traded_price,home_weighted_average_price,home_back_volume,draw_min_traded_price,draw_max_traded_price,draw_weighted_average_price,draw_back_volume,away_min_traded_price,away_max_traded_price,away_weighted_average_price,away_back_volume
FIFA World Cup,1529085600,Jun 15 2018 - 6:00pm,complete,Olimpiyskiy Stadion Fisht (Sochi),Portugal,Spain,2,4.5,4.48,414463.93,2.7,3.35,3.35,543612.14,2.1,2.1,2.09,2252341.54
FIFA World Cup,1529143200,Jun 16 2018 - 10:00am,complete,Kazan' Arena,France,Australia,1.4,1.28,1.28,3325670.17,5.9,7.2,7.4,249799.42,12,12,11.82,1093838.03
FIFA World Cup,1529154000,Jun 16 2018 - 1:00pm,complete,Otkrytiye Arena,Argentina,Iceland,3.3,1.34,1.35,2559631.64,4.4,5.7,5.52,237009.64,13,13,12.67,109503.23
FIFA World Cup,1529164800,Jun 16 2018 - 4:00pm,complete,Mordovia Arena,Peru,Denmark,3.4,3.85,3.72,374288.94,3.5,3.15,3.18,452533.95,2.36,2.36,2.4,775681.45
FIFA World Cup,1529175600,Jun 16 2018 - 7:00pm,complete,Kaliningrad Stadium (Kaliningrad),Croatia,Nigeria,2.12,1.7,1.73,1667814.11,3.5,3.85,3.8,181671.65,6.4,6.4,6.34,187932.66
FIFA World Cup,1529236800,Jun 17 2018 - 12:00pm,complete,Samara Arena,Costa Rica,Serbia,2.3,5.6,5.44,275176.11,3.1,3.45,3.4,299629.62,1.87,1.87,1.91,2330386.93
FIFA World Cup,1529247600,Jun 17 2018 - 3:00pm,complete,Stadion Luzhniki (Moskva),Germany,Mexico,1.5,1.53,1.49,3251209.93,4.6,4.8,4.77,381154.58,7.4,7.4,8.34,462917.46
FIFA World Cup,1529258400,Jun 17 2018 - 6:00pm,complete,Rostov Arena,Brazil,Switzerland,1.41,1.48,1.46,5844392.9,5.3,4.5,4.62,422280.12,9,9,9.81,329130.74
FIFA World Cup,1529323200,Jun 18 2018 - 12:00pm,complete,Stadion Nizhny Novgorod,Sweden,South Korea,2,2.32,2.24,1333190.62,3.15,3.1,3.15,324666.49,4.1,4.1,4.27,336858.88
FIFA World Cup,1529334000,Jun 18 2018 - 3:00pm,complete,Olimpiyskiy Stadion Fisht (Sochi),Belgium,Panama,1.24,1.22,1.22,4301455.25,7.6,7.4,7.49,240773.61,23,23,22.09,120818.25
FIFA World Cup,1529344800,Jun 18 2018 - 6:00pm,complete,Volgograd Arena,Tunisia,England,10,9.4,9.79,320474.13,5.3,4.4,4.46,483282.65,1.51,1.51,1.48,4345771.29
FIFA World Cup,1529409600,Jun 19 2018 - 12:00pm,complete,Mordovia Arena,Colombia,Japan,1.74,1.93,1.86,2076616.9,3.5,3.35,3.52,408050.6,5.5,5.5,5.73,281580.86
FIFA World Cup,1529420400,Jun 19 2018 - 3:00pm,complete,Otkrytiye Arena,Poland,Senegal,2.46,2.5,2.5,1158615.19,3.15,3.15,3.17,337554.44,3.5,3.5,3.52,413887.92
FIFA World Cup,1529431200,Jun 19 2018 - 6:00pm,complete,Saint-Petersburg Stadium,Russia,Egypt,1.99,1.99,2.05,2068353.79,3.3,3.7,3.5,407854.91,4.4,4.4,4.44,461032.53
FIFA World Cup,1529496000,Jun 20 2018 - 12:00pm,complete,Stadion Luzhniki (Moskva),Portugal,Morocco,1.49,1.73,1.7,2699292.36,3.75,3.85,3.8,473326.84,6.2,6.2,6.68,427202.56
FIFA World Cup,1529506800,Jun 20 2018 - 3:00pm,complete,Rostov Arena,Uruguay,Saudi Arabia,1.29,1.24,1.23,3359149.9,7.2,7.2,7.48,203515.2,19,19,20.3,122548.55
FIFA World Cup,1529517600,Jun 20 2018 - 6:00pm,complete,Kazan' Arena,Iran,Spain,19.5,27,22.85,117228.84,5.8,7.8,7.13,177109.31,1.21,1.21,1.22,4507448.09
FIFA World Cup,1529582400,Jun 21 2018 - 12:00pm,complete,Samara Arena,Denmark,Australia,1.95,1.95,2.03,1772582.81,3.45,3.6,3.46,500446.8,4.7,4.7,4.63,685449.73
FIFA World Cup,1529593200,Jun 21 2018 - 3:00pm,complete,Ekaterinburg Arena,France,Peru,1.4,1.64,1.65,2284782.91,5.2,3.95,4.02,436858.47,7,7,7.01,243731.61
FIFA World Cup,1529604000,Jun 21 2018 - 6:00pm,complete,Stadion Nizhny Novgorod,Argentina,Croatia,1.91,2.12,2.15,2005258.39,3.2,3.3,3.37,463954.49,4.2,4.2,4.21,393704.97
FIFA World Cup,1529668800,Jun 22 2018 - 12:00pm,complete,Saint-Petersburg Stadium,Brazil,Costa Rica,1.27,1.22,1.24,4017750.59,5.3,7.4,6.97,185791.32,22,22,21.52,108527.77
FIFA World Cup,1529679600,Jun 22 2018 - 3:00pm,complete,Volgograd Arena,Nigeria,Iceland,3.3,3,3.06,833413.15,3.05,3.2,3.19,418976.5,2.82,2.82,2.78,968878.78
FIFA World Cup,1529690400,Jun 22 2018 - 6:00pm,complete,Kaliningrad Stadium (Kaliningrad),Serbia,Switzerland,3.15,2.76,2.83,708155.45,3,3.2,3.11,287694.22,3.1,3.1,3.08,446258.56
FIFA World Cup,1529755200,Jun 23 2018 - 12:00pm,complete,Otkrytiye Arena,Belgium,Tunisia,1.35,1.35,1.37,2658486.15,4.9,5.4,5.27,209040.47,13.5,13.5,12.53,123517.8
FIFA World Cup,1529766000,Jun 23 2018 - 3:00pm,complete,Rostov Arena,South Korea,Mexico,4.8,5.7,6.03,379247.38,3.35,4,3.82,311124.23,1.75,1.75,1.74,1940855.01
FIFA World Cup,1529776800,Jun 23 2018 - 6:00pm,complete,Olimpiyskiy Stadion Fisht (Sochi),Germany,Sweden,1.64,1.49,1.54,3950542.19,4.1,4.8,4.63,289217.97,8.4,8.4,7.46,239088.35
FIFA World Cup,1529841600,Jun 24 2018 - 12:00pm,complete,Stadion Nizhny Novgorod,England,Panama,1.29,1.24,1.24,3586093.91,4.9,6.8,6.74,329192.03,23,23,20.6,145463.68
FIFA World Cup,1529852400,Jun 24 2018 - 3:00pm,complete,Ekaterinburg Arena,Japan,Senegal,3.55,3.3,3.33,677565.08,3.05,2.98,3.12,655257.08,2.74,2.74,2.65,1229822.06
FIFA World Cup,1529863200,Jun 24 2018 - 6:00pm,complete,Kazan' Arena,Poland,Colombia,2.78,3.8,3.65,720786.01,3,3.35,3.54,567927.39,2.28,2.28,2.25,1901198.25
FIFA World Cup,1529935200,Jun 25 2018 - 2:00pm,complete,Samara Arena,Uruguay,Russia,2.66,2.74,2.81,624710.04,3,3.15,3.12,360225.63,3.1,3.1,3.06,494409.68
FIFA World Cup,1529935200,Jun 25 2018 - 2:00pm,complete,Volgograd Arena,Saudi Arabia,Egypt,5.3,5.7,5.15,178796.82,3.5,3.75,3.68,172436.43,1.79,1.79,1.88,1209565.78
FIFA World Cup,1529949600,Jun 25 2018 - 6:00pm,complete,Mordovia Arena,Iran,Portugal,9.2,6.4,6.51,377824.53,4.5,4.1,4,264393.74,1.64,1.64,1.67,1652149.73
FIFA World Cup,1529949600,Jun 25 2018 - 6:00pm,complete,Kaliningrad Stadium (Kaliningrad),Spain,Morocco,1.34,1.38,1.4,3697549.79,4.6,5.5,5.22,265735.94,10.5,10.5,10.79,237596.98
FIFA World Cup,1530021600,Jun 26 2018 - 2:00pm,complete,Stadion Luzhniki (Moskva),Denmark,France,6,5.8,5.43,236641.93,3.85,2.8,2.83,498169.81,2.12,2.12,2.16,972777.62
FIFA World Cup,1530021600,Jun 26 2018 - 2:00pm,complete,Olimpiyskiy Stadion Fisht (Sochi),Australia,Peru,3.45,3.05,3.1,591113.01,3.2,3.7,3.64,253019.31,2.48,2.48,2.5,1077063.75
FIFA World Cup,1530036000,Jun 26 2018 - 6:00pm,complete,Saint-Petersburg Stadium,Nigeria,Argentina,5.8,6.2,6.51,509687.6,3.75,5.5,5.17,294259.69,1.53,1.53,1.53,4245265.94
FIFA World Cup,1530036000,Jun 26 2018 - 6:00pm,complete,Rostov Arena,Iceland,Croatia,4.6,4.5,4.18,417833.55,3.35,4.1,3.85,266497.34,1.84,1.84,1.97,1772337.7
FIFA World Cup,1530108000,Jun 27 2018 - 2:00pm,complete,Kazan' Arena,South Korea,Germany,12,21,20.61,81398.74,5.8,10,8.58,143618.48,1.17,1.17,1.2,3258774.61
FIFA World Cup,1530108000,Jun 27 2018 - 2:00pm,complete,Ekaterinburg Arena,Mexico,Sweden,2.68,2.26,2.37,752780.56,3.05,3.4,3.24,334782.99,3.75,3.75,3.52,371683
FIFA World Cup,1530122400,Jun 27 2018 - 6:00pm,complete,Otkrytiye Arena,Serbia,Brazil,7.6,8.2,7.7,305011.64,4.6,4.8,4.59,189508.43,1.5,1.5,1.53,3184004.73
FIFA World Cup,1530122400,Jun 27 2018 - 6:00pm,complete,Stadion Nizhny Novgorod,Switzerland,Costa Rica,1.84,1.64,1.65,896105.12,3.35,3.75,3.76,182548.84,7.8,7.8,7.91,100321.77
FIFA World Cup,1530194400,Jun 28 2018 - 2:00pm,complete,Volgograd Arena,Japan,Poland,4.5,3.1,2.91,428687.8,3.4,3.2,3.22,241003.59,2.74,2.74,2.85,505770.87
FIFA World Cup,1530194400,Jun 28 2018 - 2:00pm,complete,Samara Arena,Senegal,Colombia,4,5.5,5.17,224291.63,3.2,3.95,3.81,175118.91,1.76,1.76,1.84,1563151.08
FIFA World Cup,1530208800,Jun 28 2018 - 6:00pm,complete,Kaliningrad Stadium (Kaliningrad),England,Belgium,3.05,2.5,2.63,2470596.25,3.05,2.9,3.01,1239232.3,3.95,3.95,3.48,1183327
FIFA World Cup,1530208800,Jun 28 2018 - 6:00pm,complete,Mordovia Arena,Panama,Tunisia,2.98,4.5,4.67,206898.12,2.98,3.75,3.84,135357.9,1.95,1.95,1.92,1000787.43
FIFA World Cup,1530367200,Jun 30 2018 - 2:00pm,complete,Kazan' Arena,France,Argentina,1.91,2.52,2.48,1803647.76,3.6,3.2,3.17,508482.62,3.4,3.4,3.55,881683.95
FIFA World Cup,1530381600,Jun 30 2018 - 6:00pm,complete,Olimpiyskiy Stadion Fisht (Sochi),Uruguay,Portugal,2.9,3.15,3.07,1653796.15,3.15,3.05,3.05,1152331.43,2.74,2.74,2.86,2013680.24
FIFA World Cup,1530453600,Jul 01 2018 - 2:00pm,complete,Stadion Luzhniki (Moskva),Spain,Russia,1.61,1.65,1.62,3735506.57,3.85,4.1,4.18,384071.46,6.8,6.8,7.02,445281.16
FIFA World Cup,1530468000,Jul 01 2018 - 6:00pm,complete,Stadion Nizhny Novgorod,Croatia,Denmark,1.89,2.06,1.99,3470820.08,3.5,3.25,3.31,825551.85,4.8,4.8,5.13,645375.39
FIFA World Cup,1530540000,Jul 02 2018 - 2:00pm,complete,Samara Arena,Brazil,Mexico,1.54,1.5,1.52,2889361.61,4.4,4.6,4.52,274373.11,8.6,8.6,8.15,301835.88
FIFA World Cup,1530554400,Jul 02 2018 - 6:00pm,complete,Rostov Arena,Belgium,Japan,1.38,1.45,1.42,3686239.71,5,4.8,5.03,434917.11,9.4,9.4,10.36,272155.62
FIFA World Cup,1530626400,Jul 03 2018 - 2:00pm,complete,Saint-Petersburg Stadium,Sweden,Switzerland,3,3.55,3.38,477500.44,3.2,3,3.01,342550.64,2.56,2.56,2.67,954350.07
FIFA World Cup,1530640800,Jul 03 2018 - 6:00pm,complete,Otkrytiye Arena,Colombia,England,3.7,4.2,4.22,714338.9,3.45,3.15,3.22,583184.19,2.24,2.24,2.21,3188353.83
FIFA World Cup,1530885600,Jul 06 2018 - 2:00pm,complete,Stadion Nizhny Novgorod,Uruguay,France,3.7,5.1,4.78,556503.77,3.15,3.2,3.2,793054.47,2.04,2.04,2.09,1983060.85
FIFA World Cup,1530900000,Jul 06 2018 - 6:00pm,complete,Kazan' Arena,Brazil,Belgium,2,2.18,2.17,4329529.74,3.25,3.65,3.51,665338.08,3.75,3.75,3.93,798364.79
FIFA World Cup,1530972000,Jul 07 2018 - 2:00pm,complete,Samara Arena,Sweden,England,5,5.4,5.18,600962.26,3.2,3.5,3.41,572219.7,1.89,1.89,1.94,3215508.48
FIFA World Cup,1530986400,Jul 07 2018 - 6:00pm,complete,Olimpiyskiy Stadion Fisht (Sochi),Russia,Croatia,4,4.1,4.36,565129.95,3.15,3.15,3.23,688347.54,2.24,2.24,2.19,3216109.48
FIFA World Cup,1531245600,Jul 10 2018 - 6:00pm,complete,Saint-Petersburg Stadium,France,Belgium,2.5,2.7,2.63,1897606.15,3.35,3.15,3.29,1153941.89,3.15,3.15,3.17,900546.75
FIFA World Cup,1531332000,Jul 11 2018 - 6:00pm,complete,Stadion Luzhniki (Moskva),Croatia,England,3.55,4.1,3.98,1159329.18,3,3.05,3.15,1047129.59,2.32,2.32,2.33,3725221.28
FIFA World Cup,1531576800,Jul 14 2018 - 2:00pm,complete,Saint-Petersburg Stadium,Belgium,England,2.2,2.22,2.29,1361248.44,3.85,4,3.87,462701.83,3.25,3.25,3.27,719039.21
FIFA World Cup,1531666800,Jul 15 2018 - 3:00pm,complete,Stadion Luzhniki (Moskva),France,Croatia,1.92,2.22,2.08,5869013.79,3.6,3.05,3.27,2112907.33,4.3,4.3,4.68,1444595.15
Copa America,1560558600,Jun 15 2019 - 12:30am,complete,EstÃ¡dio CÃ­cero Pompeu de Toledo (Morumbi) (SÃ£o Paulo- SÃ£o Paulo),Brazil,Bolivia,1.09,1.06,1.07,343952.41,13,21,19.58,9718.05,90,90,82.09,2566.84
Copa America,1560625200,Jun 15 2019 - 7:00pm,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Venezuela,Peru,3.6,4.4,3.82,35144.21,2.9,3.25,3.2,58646.99,2.16,2.16,2.34,128497.43
Copa America,1560636000,Jun 15 2019 - 10:00pm,complete,Arena Fonte Nova (Salvador- Bahia),Argentina,Colombia,2.16,2.2,2.24,399686.22,3.45,3.25,3.32,113676.41,4.2,4.2,3.95,84189.45
Copa America,1560711600,Jun 16 2019 - 7:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Paraguay,Qatar,1.75,1.99,1.97,358272.33,3.8,3.7,3.52,75655.98,4.5,4.5,4.83,80768.91
Copa America,1560722400,Jun 16 2019 - 10:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto (Belo Horizonte- Minas Gerais),Uruguay,Ecuador,1.8,1.92,1.89,473679.57,3.6,3.4,3.44,101753.64,5.6,5.6,5.71,55161.8
Copa America,1560812400,Jun 17 2019 - 11:00pm,complete,EstÃ¡dio CÃ­cero Pompeu de Toledo (Morumbi) (SÃ£o Paulo- SÃ£o Paulo),Japan,Chile,10.5,9.2,8.64,35808.95,5,5.4,4.84,57987.1,1.41,1.41,1.47,644151.04
Copa America,1560893400,Jun 18 2019 - 9:30pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Bolivia,Peru,8,9.6,9.43,19410.49,4.4,4.7,4.76,36612.02,1.46,1.46,1.46,386834.88
Copa America,1560904200,Jun 19 2019 - 12:30am,complete,Arena Fonte Nova (Salvador- Bahia),Brazil,Venezuela,1.15,1.15,1.16,272960.85,9,9.2,9.5,5687.68,40,40,34.25,3779.6
Copa America,1560979800,Jun 19 2019 - 9:30pm,complete,EstÃ¡dio CÃ­cero Pompeu de Toledo (Morumbi) (SÃ£o Paulo- SÃ£o Paulo),Colombia,Qatar,1.35,1.35,1.37,550637.12,5.2,5.5,5.35,34023.78,13,13,12.4,13124.99
Copa America,1560990600,Jun 20 2019 - 12:30am,complete,EstÃ¡dio Governador MagalhÃ£es Pinto (Belo Horizonte- Minas Gerais),Argentina,Paraguay,1.5,1.48,1.48,406201.61,4.2,4.8,4.72,40421.78,8.4,8.4,8.85,17998.31
Copa America,1561071600,Jun 20 2019 - 11:00pm,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Uruguay,Japan,1.25,1.26,1.27,448019.5,7.4,6.6,6.6,24016.59,17,17,16.61,13142.28
Copa America,1561158000,Jun 21 2019 - 11:00pm,complete,Arena Fonte Nova (Salvador- Bahia),Ecuador,Chile,4.5,4.8,4.59,37584.87,3.75,4,3.86,49791.65,1.84,1.84,1.9,471296.46
Copa America,1561230000,Jun 22 2019 - 7:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto (Belo Horizonte- Minas Gerais),Bolivia,Venezuela,8,5.8,6.55,24127.89,4.3,4.3,4.43,38170.53,1.67,1.67,1.61,155395.78
Copa America,1561230000,Jun 22 2019 - 7:00pm,complete,Arena Corinthians (SÃ£o Paulo- SÃ£o Paulo),Peru,Brazil,11.5,14,13.1,11063.27,7.2,5.9,5.56,24812.22,1.32,1.32,1.34,369310.16
Copa America,1561316400,Jun 23 2019 - 7:00pm,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Qatar,Argentina,13,20,16.23,14514.09,6.2,9,7.45,16177.62,1.19,1.19,1.23,500916.83
Copa America,1561316400,Jun 23 2019 - 7:00pm,complete,Arena Fonte Nova (Salvador- Bahia),Colombia,Paraguay,1.62,2.34,2.52,335757.11,4.6,3.55,3.46,85008.49,3.45,3.45,3.12,100093.49
Copa America,1561417200,Jun 24 2019 - 11:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Chile,Uruguay,3.95,3.65,3.59,51617.99,3.05,3.55,3.53,39185.87,2.26,2.26,2.28,111398.1
Copa America,1561417200,Jun 24 2019 - 11:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto (Belo Horizonte- Minas Gerais),Ecuador,Japan,1.86,1.9,1.99,347943.38,3.4,4.7,4.39,55362.33,3.9,3.9,3.68,50371.89
Copa America,1561681800,Jun 28 2019 - 12:30am,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Brazil,Paraguay,1.21,1.2,1.2,456694.13,7,7.8,8.11,12108.83,21,21,22.6,9208.52
Copa America,1561748400,Jun 28 2019 - 7:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Venezuela,Argentina,6.4,8,7.75,25093.34,4.7,4.8,4.35,50188.93,1.5,1.5,1.55,347589.73
Copa America,1561764000,Jun 28 2019 - 11:20pm,complete,Arena Corinthians (SÃ£o Paulo- SÃ£o Paulo),Colombia,Chile,2.3,2.2,2.2,212838.91,3.2,3.35,3.35,59482.4,4.1,4.1,4.05,40345.24
Copa America,1561834800,Jun 29 2019 - 7:00pm,complete,Arena Fonte Nova (Salvador- Bahia),Uruguay,Peru,1.8,1.81,1.79,656480.61,3.8,3.6,3.68,65450.6,5.9,5.9,6.03,52920.84
Copa America,1562113800,Jul 03 2019 - 12:30am,complete,EstÃ¡dio Governador MagalhÃ£es Pinto (Belo Horizonte- Minas Gerais),Brazil,Argentina,1.96,1.84,1.85,524058.4,3.4,3.55,3.57,79937.41,5.7,5.7,5.46,83740.01
Copa America,1562200200,Jul 04 2019 - 12:30am,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Chile,Peru,1.98,1.82,1.88,547830.83,3.4,3.65,3.53,89788.07,5.6,5.6,5.3,62956.67
Copa America,1562439600,Jul 06 2019 - 7:00pm,complete,Arena Corinthians (SÃ£o Paulo- SÃ£o Paulo),Argentina,Chile,1.79,2.04,1.97,286015.42,3.6,3.95,3.74,50691.62,4.1,5.3,4.41,57414.51
Copa America,1562529600,Jul 07 2019 - 8:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Brazil,Peru,1.29,1.39,1.31,773665.16,5.4,7,6.53,71895.07,10,14.5,11.91,166112.47
